job,value
36-sparta-a104,80
222-partition2274-2,80
298-partition6519-32,80
299-partition2317-14,2
36-static-80c-a27,80
386-partition3928-1,80
299-partition2317-2,80
310-partition8471-82,80
36-static-80c-a5,80
426-partition5517-2,80
47-partition6235-1,124
284-partition0778-12,80
298-partition6519-44,80
36-static-80c-a13,80
221-partition2523-2,80
284-partition0778-48,80
36-sparta-a117,80
36-static-80c-a29,80
317-partition9590-10,80
321-partition5643-1,80
36-sparta-a115,80
47-partition6235-2,124
69-partition6049-1,2
36-static-80c-a11,80
36-static-80c-a8,80
36-sparta-a101,80
317-partition9590-29,80
36-static-80c-a23,80
45-partition9963-1,124
36-static-80c-a15,80
36-static-80c-a21,80
36-sparta-a120,80
36-static-80c-a14,80
248-partition9104-1,80
284-partition0778-53,80
310-partition8471-52,80
340-partition9045-2,80
337-partition8265-2,80
36-static-300c-a3,124
36-sparta-a102,80
87-partition3124-1,80
36-static-80c-a24,80
228-partition4484-2,80
299-partition2317-62,80
36-static-80c-a30,80
384-partition1042-1,80
298-partition6519-57,80
36-static-300c-a2,124
36-static-80c-a20,80
36-sparta-a112,80
335-partition5777-2,80
337-partition8265-1,80
36-sparta-a118,80
36-static-80c-a32,80
36-static-80c-a9,80
36-static-300c-a5,124
38-partition7339-1,124
36-sparta-a106,80
310-partition8471-72,80
323-partition0071-1,80
36-static-80c-a33,80
36-sparta-a113,80
36-static-80c-a6,80
332-partition5064-2,124
36-static-300c-a6,124
36-static-80c-a12,80
36-sparta-a114,80
36-sparta-a107,80
36-static-80c-a25,80
415-partition2213-2,80
197-partition6756-1,80
245-partition0244-1,80
342-partition8861-2,80
36-static-80c-a16,80
36-static-80c-a7,80
36-static-80c-a10,80
220-partition1056-1,80
326-partition7552-1,2
329-partition4364-2,80
36-static-80c-a19,80
90-partition3964-4,80
317-partition9590-31,80
393-partition8982-2,80
36-sparta-a103,80
36-sparta-a108,80
284-partition0778-32,80
157-partition9093-1,80
298-partition6519-64,80
329-partition4364-1,80
36-sparta-a109,80
411-partition5223-1,124
284-partition0778-72,80
310-partition8471-17,80
36-static-80c-a26,80
395-partition3909-1,80
36-sparta-a110,80
36-static-80c-a28,80
322-partition1707-1,80
36-static-80c-a31,80
36-sparta-a105,80
36-static-300c-a9,124
36-sparta-a116,80
36-static-300c-a8,124
36-sparta-a111,80
36-sparta-a119,80
268-partition9315-2,80
36-static-80c-a18,80
36-static-300c-a1,124
36-static-80c-a22,80
36-static-80c-a17,80
407-partition9838-2,80
