id,name,state,machine-type,machine-spec,core,mem,gpu,ip,create-time
ins-37i122en,workbench-600G,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.20.93,2022-06-27 16:15:08
ins-ravwldt5,Landspace-Cluster9,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.4,2022-06-27 15:55:42
ins-ecz1elkb,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.127,2022-06-27 15:55:40
ins-k6ea338h,Landspace-Cluster10,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.189,2022-06-27 15:55:42
ins-go6lafu1,Landspace-Cluster5,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.122,2022-06-27 15:55:40
ins-pwb2pptx,Landspace-Cluster4,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.144,2022-06-27 15:55:42
ins-b2v7dzt7,Landspace-Cluster8,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.109,2022-06-27 15:55:42
ins-c63e5z8t,Landspace-Cluster18,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.228,2022-06-27 15:55:40
ins-mlydfxoh,Landspace-Cluster14,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.20.135,2022-06-27 15:55:40
ins-abysqq6f,Landspace-Cluster13,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.161,2022-06-27 15:55:40
ins-kqcvme3x,Landspace-Cluster20,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.109,2022-06-27 15:55:42
ins-pw38zhm5,Landspace-Cluster16,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.9,2022-06-27 15:55:40
ins-grsapd8n,Landspace-Cluster12,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.187,2022-06-27 15:55:42
ins-3an5h0wz,Landspace-Cluster19,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.85,2022-06-27 15:55:42
ins-czdt45i9,Landspace-Cluster15,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.20.67,2022-06-27 15:55:39
ins-hzzxljal,Landspace-Cluster17,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.20.35,2022-06-27 15:55:40
ins-23a5122r,Landspace-Cluster3,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.103,2022-06-27 15:55:39
ins-4qaovdol,Landspace-Cluster11,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.104,2022-06-27 15:55:40
ins-1wvcz6vb,Landspace-Cluster7,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.36,2022-06-27 15:55:40
ins-arkdm0kv,Landspace-Cluster6,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.68,2022-06-27 15:55:40
ins-2ztgrwjn,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.152,2022-06-27 15:55:39
ins-89skkknh,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.30,2022-06-27 15:53:01
ins-dhdyrbol,Landspace-Cluster3,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.190,2022-06-27 15:53:00
ins-pp6pnuyr,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.33,2022-06-27 15:52:58
ins-p50yx6kp,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.234,2022-06-27 15:50:29
ins-anu73vgn,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.143,2022-06-27 15:50:29
ins-k6ujnqof,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.187,2022-06-27 15:46:00
ins-h8mtvnin,Landspace-Cluster4,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.92,2022-06-27 15:46:02
ins-cmwxlrfp,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.20.91,2022-06-27 15:46:00
ins-6lbhrguh,Landspace-Cluster3,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.129,2022-06-27 15:46:00
ins-p7n73v4b,Landspace-Cluster3,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.18.55,2022-06-27 15:43:20
ins-1sxsgzrj,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.32,2022-06-27 15:43:18
ins-p123qihz,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.20,2022-06-27 15:43:18
ins-0krail3h,Landspace-Cluster3,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.251,2022-06-27 15:38:32
ins-akewe1mp,Landspace-Cluster4,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.102,2022-06-27 15:38:30
ins-6m2ug9ov,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.86,2022-06-27 15:38:30
ins-18hgsmln,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.17.135,2022-06-27 15:38:30
ins-2vufgap3,Landspace-Cluster1,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.43,2022-06-27 15:35:58
ins-ak4tvuwb,Landspace-Cluster2,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.16.219,2022-06-27 15:35:58
ins-1n790c8z,Landspace-Cluster4,运行中,尊享型RS3t,RS3t.20XLARGE320,80,320,0,10.12.19.133,2022-06-27 15:35:57
